timestamp,reqNum,,,,
1543762706,48,,,,10390
1543762707,100,,,,10391
1543762708,18,,,,10392
1543762709,29,,,,10393
1543762710,37,,,,10394
1543762711,36,,,,10395
1543762712,92,,,,10396
1543762713,49,,,,10397
1543762714,158,,,,10398
1543762715,134,,,,10399
1543762716,71,,,,10400
1543762717,9,,,,10401
1543762718,95,,,,10402
1543762719,78,,,,10403
1543762720,1,,,,10404
1543762721,165,,,,10405
1543762722,89,,,,10406
1543762723,14,,,,10407
1543762724,36,,,,10408
1543762725,28,,,,10409
1543762726,66,,,,10410
1543762727,151,,,,10411
1543762728,29,,,,10412
1543762729,102,,,,10413
1543762730,14,,,,10414
1543762731,119,,,,10415
1543762732,5,,,,10416
1543762733,87,,,,10417
1543762734,16,,,,10418
1543762735,9,,,,10419
1543762736,194,,,,10420
1543762737,38,,,,10421
1543762738,128,,,,10422
1543762739,133,,,,10423
1543762740,14,,,,10424
1543762741,196,,,,10425
1543762742,108,,,,10426
1543762743,71,,,,10427
1543762744,23,,,,10428
1543762745,78,,,,10429
1543762746,89,,,,10430
1543762747,53,,,,10431
1543762748,77,,,,10432
1543762749,56,,,,10433
1543762750,51,,,,10434
1543762751,74,,,,10435
1543762752,161,,,,10436
1543762753,8,,,,10437
1543762754,24,,,,10438
1543762755,80,,,,10439
1543762756,69,,,,10440
1543762757,27,,,,10441
1543762758,120,,,,10442
1543762759,21,,,,10443
1543762760,60,,,,10444
1543762761,48,,,,10445
1543762762,45,,,,10446
1543762763,20,,,,10447
1543762764,6,,,,10448
1543762765,48,,,,10449
1543762766,56,,,,10450
1543762767,123,,,,10451
1543762768,12,,,,10452
1543762769,95,,,,10453
1543762770,57,,,,10454
1543762771,14,,,,10455
1543762772,68,,,,10456
1543762773,179,,,,10457
1543762774,32,,,,10458
1543762775,165,,,,10459
1543762776,126,,,,10460
1543762777,52,,,,10461
1543762778,193,,,,10462
1543762779,3,,,,10463
1543762780,80,,,,10464
1543762781,67,,,,10465
1543762782,9,,,,10466
1543762783,131,,,,10467
1543762784,26,,,,10468
1543762785,106,,,,10469
1543762786,105,,,,10470
1543762787,53,,,,10471
1543762788,156,,,,10472
1543762789,17,,,,10473
1543762790,64,,,,10474
1543762791,34,,,,10475
1543762792,1,,,,10476
1543762793,47,,,,10477
1543762794,66,,,,10478
1543762795,59,,,,10479
1543762796,9,,,,10480
1543762797,162,,,,10481
1543762798,51,,,,10482
1543762799,17,,,,10483
1543762800,73,,,,10484
1543762801,4,,,,10485
1543762802,50,,,,10486
1543762803,6,,,,10487
1543762804,9,,,,10488
1543762805,171,,,,10489
1543762806,38,,,,10490
1543762807,38,,,,10491
1543762808,4,,,,10492
1543762809,111,,,,10493
1543762810,146,,,,10494
1543762811,19,,,,10495
1543762812,11,,,,10496
1543762813,34,,,,10497
1543762814,28,,,,10498
1543762815,44,,,,10499
1543762816,118,,,,10500
1543762817,31,,,,10501
1543762818,44,,,,10502
1543762819,28,,,,10503
1543762820,123,,,,10504
1543762821,71,,,,10505
1543762822,93,,,,10506
1543762823,69,,,,10507
1543762824,21,,,,10508
1543762825,54,,,,10509
1543762826,93,,,,10510
1543762827,48,,,,10511
1543762828,47,,,,10512
1543762829,28,,,,10513
1543762830,106,,,,10514
1543762831,102,,,,10515
1543762832,87,,,,10516
1543762833,56,,,,10517
1543762834,18,,,,10518
1543762835,69,,,,10519
1543762836,80,,,,10520
1543762837,61,,,,10521
1543762838,45,,,,10522
1543762839,16,,,,10523
1543762840,80,,,,10524
