timestamp,reqNum,,
1543751500,92,,536
1543751501,90,,537
1543751502,68,,538
1543751503,87,,539
1543751504,88,,540
1543751505,91,,541
1543751506,78,,542
1543751507,93,,543
1543751508,88,,544
1543751509,76,,545
1543751510,88,,546
1543751511,91,,547
1543751512,78,,548
1543751513,80,,549
1543751514,100,,550
1543751515,103,,551
1543751516,89,,552
1543751517,93,,553
1543751518,113,,554
1543751519,83,,555
1543751520,75,,556
1543751521,82,,557
1543751522,91,,558
1543751523,64,,559
1543751524,105,,560
1543751525,113,,561
1543751526,98,,562
1543751527,110,,563
1543751528,113,,564
1543751529,107,,565
1543751530,109,,566
1543751531,110,,567
1543751532,94,,568
1543751533,108,,569
1543751534,108,,570
1543751535,99,,571
1543751536,112,,572
1543751537,106,,573
1543751538,97,,574
1543751539,108,,575
1543751540,110,,576
1543751541,77,,577
1543751542,106,,578
1543751543,98,,579
1543751544,96,,580
1543751545,108,,581
1543751546,106,,582
1543751547,100,,583
1543751548,108,,584
1543751549,113,,585
1543751550,99,,586
1543751551,111,,587
1543751552,104,,588
1543751553,96,,589
1543751554,111,,590
1543751555,102,,591
1543751556,102,,592
1543751557,110,,593
1543751558,106,,594
1543751559,108,,595
1543751560,116,,596
1543751561,106,,597
1543751562,92,,598
1543751563,101,,599
1543751564,84,,600
1543751565,77,,601
1543751566,108,,602
1543751567,113,,603
1543751568,94,,604
1543751569,108,,605
1543751570,102,,606
1543751571,92,,607
1543751572,104,,608
1543751573,108,,609
1543751574,94,,610
1543751575,111,,611
1543751576,102,,612
1543751577,97,,613
1543751578,103,,614
1543751579,108,,615
1543751580,95,,616
1543751581,102,,617
1543751582,108,,618
1543751583,91,,619
1543751584,91,,620
1543751585,104,,621
1543751586,94,,622
1543751587,99,,623
1543751588,112,,624
1543751589,101,,625
1543751590,116,,626
1543751591,118,,627
1543751592,102,,628
1543751593,112,,629
1543751594,102,,630
1543751595,108,,631
1543751596,111,,632
1543751597,88,,633
1543751598,104,,634
1543751599,113,,635
1543751600,102,,636
1543751601,104,,637
1543751602,87,,638
1543751603,96,,639
1543751604,79,,640
1543751605,108,,641
1543751606,124,,642
1543751607,103,,643
1543751608,126,,644
1543751609,110,,645
1543751610,126,,646
1543751611,124,,647
1543751612,91,,648
1543751613,118,,649
1543751614,120,,650
1543751615,119,,651
1543751616,123,,652
1543751617,119,,653
1543751618,123,,654
1543751619,129,,655
1543751620,103,,656
1543751621,123,,657
1543751622,102,,658
1543751623,99,,659
1543751624,118,,660
1543751625,115,,661
1543751626,130,,662
1543751627,129,,663
1543751628,108,,664
1543751629,127,,665
1543751630,113,,666
1543751631,115,,667
1543751632,126,,668
1543751633,90,,669
1543751634,115,,670
1543751635,128,,671
1543751636,117,,672
1543751637,130,,673
1543751638,109,,674
1543751639,104,,675
1543751640,124,,676
1543751641,105,,677
1543751642,116,,678
1543751643,94,,679
1543751644,26,,680
1543751645,24,,681
1543751646,33,,682
1543751647,39,,683
1543751648,114,,684
1543751649,105,,685
1543751650,91,,686
1543751651,120,,687
1543751652,110,,688
1543751653,110,,689
1543751654,124,,690
1543751655,92,,691
1543751656,86,,692
1543751657,101,,693
1543751658,74,,694
1543751659,90,,695
1543751660,115,,696
1543751661,115,,697
1543751662,117,,698
1543751663,119,,699
1543751664,84,,700
1543751665,89,,701
1543751666,108,,702
1543751667,111,,703
1543751668,106,,704
1543751669,103,,705
1543751670,92,,706
1543751671,102,,707
1543751672,109,,708
1543751673,98,,709
1543751674,112,,710
1543751675,99,,711
1543751676,76,,712
1543751677,89,,713
1543751678,103,,714
1543751679,84,,715
1543751680,79,,716
1543751681,109,,717
1543751682,123,,718
1543751683,105,,719
1543751684,124,,720
1543751685,115,,721
1543751686,124,,722
1543751687,115,,723
1543751688,119,,724
1543751689,124,,725
1543751690,90,,726
1543751691,107,,727
1543751692,126,,728
1543751693,117,,729
1543751694,108,,730
1543751695,130,,731
1543751696,115,,732
1543751697,131,,733
1543751698,112,,734
1543751699,85,,735
1543751700,109,,736
1543751701,118,,737
1543751702,126,,738
1543751703,129,,739
1543751704,111,,740
1543751705,132,,741
1543751706,95,,742
1543751707,100,,743
1543751708,106,,744
1543751709,117,,745
1543751710,118,,746
1543751711,111,,747
1543751712,111,,748
1543751713,101,,749
1543751714,119,,750
1543751715,107,,751
1543751716,126,,752
1543751717,118,,753
1543751718,101,,754
1543751719,88,,755
1543751720,102,,756
1543751721,100,,757
1543751722,87,,758
1543751723,108,,759
1543751724,111,,760
1543751725,117,,761
1543751726,97,,762
1543751727,96,,763
1543751728,124,,764
1543751729,119,,765
1543751730,122,,766
1543751731,101,,767
1543751732,96,,768
1543751733,110,,769
1543751734,123,,770
1543751735,109,,771
1543751736,108,,772
1543751737,116,,773
1543751738,78,,774
1543751739,119,,775
1543751740,103,,776
1543751741,104,,777
1543751742,111,,778
1543751743,109,,779
1543751744,102,,780
1543751745,120,,781
1543751746,110,,782
1543751747,120,,783
1543751748,128,,784
1543751749,112,,785
1543751750,112,,786
1543751751,109,,787
1543751752,110,,788
1543751753,119,,789
1543751754,104,,790
1543751755,107,,791
1543751756,104,,792
1543751757,97,,793
1543751758,113,,794
1543751759,107,,795
1543751760,103,,796
1543751761,106,,797
1543751762,88,,798
1543751763,75,,799
1543751764,128,,800
1543751765,115,,801
1543751766,88,,802
1543751767,80,,803
1543751768,99,,804
1543751769,102,,805
1543751770,103,,806
1543751771,117,,807
1543751772,107,,808
1543751773,103,,809
1543751774,101,,810
1543751775,103,,811
1543751776,99,,812
1543751777,98,,813
1543751778,90,,814
1543751779,103,,815
1543751780,103,,816
1543751781,94,,817
1543751782,102,,818
1543751783,108,,819
1543751784,98,,820
1543751785,89,,821
1543751786,105,,822
1543751787,98,,823
1543751788,100,,824
1543751789,110,,825
1543751790,97,,826
1543751791,104,,827
1543751792,109,,828
1543751793,98,,829
1543751794,106,,830
1543751795,108,,831
1543751796,84,,832
1543751797,103,,833
1543751798,108,,834
1543751799,95,,835
1543751800,104,,836
1543751801,102,,837
1543751802,77,,838
1543751803,50,,839
1543751804,78,,840
1543751805,107,,841
1543751806,80,,842
1543751807,112,,843
1543751808,105,,844
1543751809,97,,845
1543751810,116,,846
1543751811,117,,847
1543751812,109,,848
1543751813,108,,849
1543751814,124,,850
